"DATE","Exames","Pandemia"
"2018-02-01","33","0"
"2018-03-01","249","0"
"2018-04-01","653","0"
"2018-05-01","786","0"
"2018-06-01","583","0"
"2018-07-01","425","0"
"2018-08-01","807","0"
"2018-09-01","837","0"
"2018-10-01","1089","0"
"2018-11-01","900","0"
"2018-12-01","940","0"
"2019-01-01","850","0"
"2019-02-01","1084","0"
"2019-03-01","854","0"
"2019-04-01","1591","0"
"2019-05-01","1355","0"
"2019-06-01","1123","0"
"2019-07-01","1170","0"
"2019-08-01","1224","0"
"2019-09-01","1041","0"
"2019-10-01","1378","0"
"2019-11-01","1061","0"
"2019-12-01","1492","0"
"2020-01-01","1547","0"
"2020-02-01","1629","0"
"2020-03-01","1905","0"
"2020-04-01","1149","0"
"2020-05-01","471","1"
"2020-06-01","543","1"
"2020-07-01","498","1"
"2020-08-01","546","1"
"2020-09-01","446","1"
"2020-10-01","1020","0"
"2020-11-01","1152","0"
"2020-12-01","1502","0"
"2021-01-01","1060","0"
"2021-02-01","1277","0"
"2021-03-01","1401","0"
"2021-04-01","1287","0"
"2021-05-01","1339","0"
"2021-06-01","1406","0"
"2021-07-01","1268","0"
"2021-08-01","1303","0"
"2021-09-01","1492","0"
"2021-10-01","1489","0"
"2021-11-01","1629","0"
"2021-12-01","1042","0"
"2022-01-01","1369","0"
"2022-02-01","1313","0"
"2022-03-01","1029","0"
"2022-04-01","1277","0"
"2022-05-01","955","0"
"2022-06-01","906","0"
"2022-07-01","944","0"
"2022-08-01","29","0"
"2022-09-01","816","0"
"2022-10-01","1206","0"
"2022-11-01","1079","0"
"2022-12-01","800","0"
"2023-01-01","1345","0"
"2023-02-01","1271","0"
"2023-03-01","1276","0"
"2023-04-01","1243","0"
"2023-05-01","2538","0"
"2023-06-01","2531","0"
"2023-07-01","3295","0"
"2023-08-01","3380","0"
"2023-09-01","3059","0"
"2023-10-01","2793","0"
"2023-11-01","2355","0"
"2023-12-01","2217","0"
"2024-01-01","2418","0"
"2024-02-01","1446","0"
"2024-03-01","1670","0"
"2024-04-01","1845","0"
"2024-05-01","1578","0"
"2024-06-01","2006","0"
"2024-07-01","2611","0"
"2024-08-01","1898","0"
"2024-09-01","1878","0"
"2024-10-01","1609","0"
"2024-11-01","1834","0"
"2024-12-01","1716","0"
"2025-01-01","2099","0"
"2025-02-01","2505","0"
"2025-03-01","2140","0"
"2025-04-01","2441","0"
"2025-05-01","1687","0"
"2025-06-01","2152","0"
"2025-07-01","2254","0"
"2025-08-01","1680","0"
"2025-09-01","1484","0"