Ocupações de Nível Superior,Cirurgião dentista - radiologista
2007/ago.,21
2007/set.,21
2007/out.,21
2007/nov.,21
2007/dez.,21
2008/jan.,21
2008/fev.,21
2008/mar.,21
2008/abr.,23
2008/mai.,23
2008/jun.,23
2008/jul.,23
2008/ago.,23
2008/set.,23
2008/out.,23
2008/nov.,23
2008/dez.,23
2009/jan.,23
2009/fev.,23
2009/mar.,23
2009/abr.,22
2009/mai.,14
2009/jun.,14
2009/jul.,14
2009/ago.,14
2009/set.,14
2009/out.,14
2009/nov.,14
2009/dez.,14
2010/jan.,12
2010/fev.,12
2010/mar.,13
2010/abr.,13
2010/mai.,14
2010/jun.,14
2010/jul.,14
2010/ago.,14
2010/set.,14
2010/out.,14
2010/nov.,14
2010/dez.,15
2011/jan.,15
2011/fev.,15
2011/mar.,15
2011/abr.,15
2011/mai.,16
2011/jun.,15
2011/jul.,16
2011/ago.,16
2011/set.,16
2011/out.,17
2011/nov.,17
2011/dez.,17
2012/jan.,18
2012/fev.,18
2012/mar.,18
2012/abr.,18
2012/mai.,19
2012/jun.,19
2012/jul.,19
2012/ago.,18
2012/set.,19
2012/out.,20
2012/nov.,20
2012/dez.,19
2013/jan.,20
2013/fev.,20
2013/mar.,20
2013/abr.,19
2013/mai.,19
2013/jun.,21
2013/jul.,21
2013/ago.,21
2013/set.,20
2013/out.,19
2013/nov.,19
2013/dez.,19
2014/jan.,19
2014/fev.,19
2014/mar.,19
2014/abr.,19
2014/mai.,19
2014/jun.,19
2014/jul.,18
2014/ago.,18
2014/set.,18
2014/out.,18
2014/nov.,18
2014/dez.,18
2015/jan.,15
2015/fev.,15
2015/mar.,15
2015/abr.,15
2015/mai.,15
2015/jun.,15
2015/jul.,10
2015/ago.,11
2015/set.,10
2015/out.,10
2015/nov.,11
2015/dez.,11
2016/jan.,11
2016/fev.,10
2016/mar.,11
2016/abr.,11
2016/mai.,11
2016/jun.,11
2016/jul.,11
2016/ago.,11
2016/set.,11
2016/out.,11
2016/nov.,10
2016/dez.,10
2017/jan.,10
2017/fev.,10
2017/mar.,10
2017/abr.,10
2017/mai.,10
2017/jun.,10
2017/jul.,10
2017/ago.,11
2017/set.,11
2017/out.,10
2017/nov.,9
2017/dez.,9
2018/jan.,10
2018/fev.,10
2018/mar.,10
2018/abr.,11
2018/mai.,11
2018/jun.,11
2018/jul.,11
2018/ago.,9
2018/set.,9
2018/out.,8
2018/nov.,8
2018/dez.,8
2019/jan.,9
2019/fev.,10
2019/mar.,10
2019/abr.,12
2019/mai.,12
2019/jun.,12
2019/jul.,12
2019/ago.,12
2019/set.,14
2019/out.,14
2019/nov.,14
2019/dez.,14
2020/jan.,14
2020/fev.,13
2020/mar.,14
2020/abr.,14
2020/mai.,14
2020/jun.,16
2020/jul.,15
2020/ago.,14
2020/set.,12
2020/out.,14
2020/nov.,14
2020/dez.,16
2021/jan.,16
2021/fev.,16
2021/mar.,16
2021/abr.,16
2021/mai.,16
2021/jun.,16
2021/jul.,17
2021/ago.,21
2021/set.,21
2021/out.,21
2021/nov.,21
2021/dez.,21
2022/jan.,21
2022/fev.,21
2022/mar.,22
2022/abr.,23
2022/mai.,22
2022/jun.,22
2022/jul.,22
2022/ago.,22
2022/set.,22
2022/out.,22
2022/nov.,22
2022/dez.,22
2023/jan.,22
2023/fev.,22
2023/mar.,22
2023/abr.,22
2023/mai.,22
2023/jun.,21
2023/jul.,22
2023/ago.,22
2023/set.,22
2023/out.,22
2023/nov.,22
2023/dez.,22
2024/jan.,22
2024/fev.,22
2024/mar.,22
2024/abr.,22
2024/mai.,24
2024/jun.,25
2024/jul.,25
2024/ago.,25
2024/set.,25
2024/out.,26
2024/nov.,24
2024/dez.,24
2025/jan.,24
2025/fev.,24
2025/mar.,23
2025/abr.,24
2025/mai.,24
2025/jun.,24
2025/jul.,24
2025/ago.,24
2025/set.,25
2025/out.,25