Ano/m̻s compet.,Radiologistas
2007/ago.,203
2007/set.,215
2007/out.,209
2007/nov.,210
2007/dez.,214
2008/jan.,216
2008/fev.,213
2008/mar.,216
2008/abr.,220
2008/mai.,215
2008/jun.,216
2008/jul.,216
2008/ago.,216
2008/set.,216
2008/out.,215
2008/nov.,213
2008/dez.,218
2009/jan.,226
2009/fev.,225
2009/mar.,224
2009/abr.,230
2009/mai.,229
2009/jun.,227
2009/jul.,228
2009/ago.,234
2009/set.,237
2009/out.,237
2009/nov.,238
2009/dez.,238
2010/jan.,241
2010/fev.,246
2010/mar.,248
2010/abr.,246
2010/mai.,252
2010/jun.,252
2010/jul.,253
2010/ago.,262
2010/set.,267
2010/out.,267
2010/nov.,270
2010/dez.,272
2011/jan.,270
2011/fev.,270
2011/mar.,271
2011/abr.,270
2011/mai.,270
2011/jun.,268
2011/jul.,266
2011/ago.,266
2011/set.,265
2011/out.,263
2011/nov.,263
2011/dez.,272
2012/jan.,278
2012/fev.,278
2012/mar.,263
2012/abr.,265
2012/mai.,268
2012/jun.,268
2012/jul.,255
2012/ago.,243
2012/set.,244
2012/out.,245
2012/nov.,261
2012/dez.,261
2013/jan.,264
2013/fev.,273
2013/mar.,277
2013/abr.,275
2013/mai.,276
2013/jun.,277
2013/jul.,285
2013/ago.,296
2013/set.,298
2013/out.,294
2013/nov.,291
2013/dez.,284
2014/jan.,281
2014/fev.,284
2014/mar.,279
2014/abr.,281
2014/mai.,280
2014/jun.,280
2014/jul.,277
2014/ago.,275
2014/set.,275
2014/out.,275
2014/nov.,275
2014/dez.,275
2015/jan.,270
2015/fev.,271
2015/mar.,271
2015/abr.,273
2015/mai.,271
2015/jun.,274
2015/jul.,254
2015/ago.,252
2015/set.,244
2015/out.,259
2015/nov.,247
2015/dez.,248
2016/jan.,246
2016/fev.,242
2016/mar.,250
2016/abr.,250
2016/mai.,268
2016/jun.,271
2016/jul.,270
2016/ago.,270
2016/set.,270
2016/out.,274
2016/nov.,270
2016/dez.,270
2017/jan.,274
2017/fev.,273
2017/mar.,270
2017/abr.,269
2017/mai.,275
2017/jun.,272
2017/jul.,278
2017/ago.,272
2017/set.,274
2017/out.,276
2017/nov.,277
2017/dez.,276
2018/jan.,276
2018/fev.,273
2018/mar.,273
2018/abr.,260
2018/mai.,265
2018/jun.,260
2018/jul.,256
2018/ago.,262
2018/set.,263
2018/out.,263
2018/nov.,262
2018/dez.,266
2019/jan.,261
2019/fev.,252
2019/mar.,246
2019/abr.,247
2019/mai.,247
2019/jun.,249
2019/jul.,251
2019/ago.,262
2019/set.,261
2019/out.,279
2019/nov.,274
2019/dez.,274
2020/jan.,276
2020/fev.,279
2020/mar.,289
2020/abr.,292
2020/mai.,303
2020/jun.,306
2020/jul.,321
2020/ago.,321
2020/set.,324
2020/out.,328
2020/nov.,328
2020/dez.,328
2021/jan.,342
2021/fev.,354
2021/mar.,354
2021/abr.,365
2021/mai.,349
2021/jun.,349
2021/jul.,366
2021/ago.,365
2021/set.,362
2021/out.,360
2021/nov.,363
2021/dez.,370
2022/jan.,372
2022/fev.,372
2022/mar.,373
2022/abr.,373
2022/mai.,374
2022/jun.,366
2022/jul.,365
2022/ago.,363
2022/set.,357
2022/out.,358
2022/nov.,445
2022/dez.,403
2023/jan.,408
2023/fev.,412
2023/mar.,419
2023/abr.,429
2023/mai.,424
2023/jun.,430
2023/jul.,429
2023/ago.,430
2023/set.,430
2023/out.,430
2023/nov.,430
2023/dez.,437
2024/jan.,435
2024/fev.,440
2024/mar.,440
2024/abr.,441
2024/mai.,440
2024/jun.,439
2024/jul.,431
2024/ago.,434
2024/set.,423
2024/out.,423
2024/nov.,428
2024/dez.,421
2025/jan.,422
2025/fev.,428
2025/mar.,425
2025/abr.,423
2025/mai.,419
2025/jun.,418
2025/jul.,419
2025/ago.,424
2025/set.,430
2025/out.,461